"Gene"	"Correlation"	"P.value"
"RALBP1"	0.420128508589145	3.54129225743779e-09
"BAZ2B"	0.420075745230971	3.55891336908177e-09
"KDELC2"	0.419723385678342	3.67877762811738e-09
"HIF1A"	0.41910712989201	3.89784173376055e-09
"EXPH5"	0.419027691523321	3.92698005927832e-09
"ESCO2"	0.418735938857635	4.03581074676452e-09
"POU2F3"	0.418507134340466	4.12319106836188e-09
"CYFIP1"	0.417924127589873	4.35417355487207e-09
"TIAM2"	0.417696699834332	4.44762259416689e-09
"PAQR3"	0.417614365886805	4.48192801301195e-09
"GPATCH8"	0.417485947767822	4.53594518303249e-09
"CPD"	0.417296697816583	4.61669692186395e-09
"EXT1"	0.417024307804931	4.73536339887443e-09
"NIPA1"	0.416163428751369	5.13006965493276e-09
"MTMR11"	0.41587050272299	5.27147187252502e-09
"OCLM"	0.414344848327869	6.07088901504807e-09
"CEACAM5"	0.414059044128456	6.23312066828998e-09
"GOLIM4"	0.413844050764395	6.35790529694633e-09
"PIAS3"	0.413837445603826	6.36177690209714e-09
"COL17A1"	0.413787706178205	6.39100471124941e-09
"DHX9"	0.413289100998544	6.69124153644236e-09
"MOSPD2"	0.413002134981257	6.87015858000758e-09
"TAF1L"	0.412098388194059	7.46427664801572e-09
"STEAP1"	0.411362092198463	7.98464695382664e-09
"ANXA10"	0.411060361491549	8.2078459699359e-09
"GPR110"	0.410212589499552	8.86763205090961e-09
"NFAT5"	0.410097225622203	8.96127420253348e-09
"HELLS"	0.409131222013211	9.78369593140289e-09
"C20orf112"	0.408691236902763	1.01819599033415e-08
"TMEM92"	0.408487030952801	1.03720679181415e-08
"DLAT"	0.408202092876396	1.06430602084162e-08
"HSP90AA1"	0.408196506578794	1.06484406942277e-08
"FOSL2"	0.408130197647783	1.07125072083878e-08
"IGF2BP3"	0.407264744420783	1.15835209360534e-08
"TSPAN1"	0.407059715604763	1.17996517183425e-08
"FUT3"	0.40685261156307	1.20219123919283e-08
"HRH1"	0.406685267912492	1.22044440123282e-08
"GPR115"	0.404489914949807	1.48607438126744e-08
"EREG"	0.404359717189898	1.50346446552933e-08
"ZBTB38"	0.404336597479668	1.50657291177188e-08
"TRAM1"	0.403504937394686	1.62259859781086e-08
"MON1B"	0.403322440308776	1.64918647389177e-08
"AHCTF1"	0.403214322220245	1.66513550421902e-08
"INADL"	0.403195757248659	1.66788901407878e-08
"IRAK3"	0.402881644208227	1.71514755575397e-08
"CDR2"	0.402820164844675	1.72454685025009e-08
"MPZL2"	0.40219706275883	1.82265185515942e-08
"EIF4G1"	0.401992879390657	1.85595279886044e-08
"VPS13B"	0.40183767657788	1.88165641569612e-08
"NPTN"	0.401596797179554	1.92222918245628e-08
"UBXN2B"	0.400934569344995	2.03815987695108e-08
"EPB41L1"	0.400783243606833	2.06558070759576e-08
"TMEM105"	0.400588241775007	2.10143984539033e-08
"UBXN7"	0.400109132105547	2.19210695308527e-08
"WDR36"	0.399796758140431	2.25323613887632e-08
"EIF4G2"	0.399703470659028	2.27180771530632e-08
"EML4"	0.399593380064826	2.2939139866309e-08
"DKK1"	0.399150340387638	2.38498797821688e-08
"IGSF3"	0.398971198680627	2.42279294543841e-08
"CTCF"	0.398921934640478	2.43329001462356e-08
"ATP10B"	0.398783772399301	2.46296333271624e-08
"C2orf69"	0.398105793451926	2.61369311685939e-08
"ADAM28"	0.397876855168884	2.66656699129342e-08
"HAS3"	0.39724195847918	2.81863804794843e-08
"IGF2BP2"	0.396787386293874	2.93260727091235e-08
