"Gene"	"Correlation"	"P.value"
"GPR1"	0.0777027728979849	0.620411883857724
"PDLIM3"	0.0776648864155878	0.62058284861383
"ATP11A"	0.077517614730646	0.621247607312755
"SLC12A7"	0.0774329738048078	0.621629796489128
"KBTBD5"	0.077429420680271	0.621645842482576
"GBP4"	0.0774103668991962	0.621731892757891
"CABIN1"	0.0774091309862673	0.621737474533211
"PART1"	0.0773807163172156	0.621865809981066
"LOC151658"	0.0769464191456958	0.623828698208609
"IZUMO1"	0.0768614532377163	0.624213019239853
"FBXO39"	0.0767858796198043	0.624554939460644
"GNPDA2"	0.0767293068786464	0.624810944339896
"PPAPDC1A"	0.0764480663767998	0.626084269997214
"P2RY10"	0.0764109971312961	0.626252182437911
"CECR6"	0.0763079838073915	0.626718899506364
"FUT2"	0.0762534387202516	0.626966082370176
"NAT9"	0.0762435852965442	0.627010739593444
"VCAN"	0.0760453072477586	0.627909645555899
"LYPLAL1"	0.0759539142083986	0.628324160759877
"EIF4E"	0.075800546565516	0.629020016794594
"SLC47A2"	0.0757729598548966	0.629145216258204
"OR5AK4P"	0.0757358375097453	0.629313708425029
"GATA1"	0.0756551757385188	0.629679882870467
"IGSF10"	0.0756522317136226	0.629693249307261
"MED12L"	0.0755600294679356	0.630111924236661
"LOC100652996"	0.0755173638915046	0.63030570019337
"LCN12"	0.0754375523935066	0.630668249016777
"ERICH1"	0.0753211784723801	0.631197038414223
"EIF1"	0.0753133205687378	0.63123275035914
"LOC100287015"	0.0752809404162867	0.631379917719793
"TRAPPC6B"	0.0752644020480789	0.631455089811672
"TRAV26-2"	0.0751820411737272	0.631829500559375
"POGZ"	0.0751067771589703	0.632171728664153
"OR52A1"	0.0750871038697657	0.632261196310079
"LOC283624"	0.0750712282722396	0.632333397083225
"U2SURP"	0.0748183380499889	0.63348397350967
"ZNF100"	0.0748135180103869	0.633505911579903
"ARPC2"	0.0745680302034878	0.63462364197298
"SEPHS1"	0.0744938088854271	0.634961737145552
"AKAP14"	0.0744176842602663	0.635308578482468
"LOC100507009"	0.0743949734082717	0.635412069286522
"GALNT1"	0.0741802823986169	0.636390730714693
"CDR2"	0.0741200819787469	0.636665262032753
"ABCA9"	0.0741033615715506	0.636741520449428
"LOC100507487"	0.0740714826045039	0.636886924277545
"ILDR1"	0.0740671894314559	0.636906506988442
"GSTA4"	0.0740142974736262	0.637147786320094
"C15orf61"	0.0739539035614875	0.63742333290851
"CSF3R"	0.0739221346819883	0.637568297460831
"LOC100505890"	0.0738731175962772	0.637791993480504
"NAPEPLD"	0.073747167164533	0.638366930742095
"RASGEF1B"	0.0737117416999889	0.638528678298022
"SH3KBP1"	0.0737087901910308	0.638542155209311
"GRHL1"	0.0737082645265701	0.638544555462539
"LOC100507537"	0.0736466723860348	0.638825818537444
"PDXDC1"	0.0735066877521962	0.639465250223811
"CPM"	0.0734096715370672	0.639908559153826
"SPATA4"	0.0731508739411638	0.641091722309061
"CSRP1"	0.0729316352250006	0.642094718850741
"AK7"	0.0729103539609517	0.642192112151354
"RPS6KC1"	0.0727528447558082	0.642913134162964
"IGSF11-AS1"	0.0727279703867053	0.643027029958552
"PPP2R3B-AS1"	0.0726767354683886	0.643261651987946
"MTF2"	0.072532588549181	0.643921933210125
"LOC201651"	0.0725276111540041	0.643944737567917
"ZNF473"	0.0724576988567899	0.644265080779228
"CLRN3"	0.0724463711473073	0.644316991156061
"STRAP"	0.0724237532918374	0.644420644767772
"LOC100507448"	0.0721591103851421	0.645633950363033
"GABBR1"	0.0721400017076286	0.645721592926248
"HAUS5"	0.0720606670475122	0.646085514536846
"FGR"	0.0720377036173413	0.646190866931656
"IFT172"	0.0719964290438053	0.646380244979846
"ZNF558"	0.0719723390583524	0.646490786044742
"RCOR2"	0.0718519390925233	0.647043374693541
"FAM171A1"	0.0718463162575527	0.647069185885142
"GAST"	0.0715346024295689	0.64850072297948
"FLRT3"	0.0715336642790491	0.648505033301401
"PPM1N"	0.0715123310255375	0.648603051753072
"GNE"	0.071506749961229	0.64862869565783
"FLJ38379"	0.0714956875584868	0.64867952643202
"LOXHD1"	0.0714774904489341	0.648763143989039
"NT5DC1"	0.0713875742556787	0.649176380547481
"GAS2"	0.0713340799304538	0.64942227894393
"NPC1L1"	0.071239409633952	0.649857541861796
"ADAMTS15"	0.0711506893494787	0.65026555304406
"TBC1D2B"	0.0711323134853453	0.650350073492324
"LOC100129387"	0.0711206843967328	0.650403564141408
"TSPAN15"	0.071116025011697	0.650424996533678
"DACT2"	0.0711095264282489	0.650454889396081
"HLA-F-AS1"	0.0710252620209052	0.650842546628035
"SLC40A1"	0.0709386826650781	0.651240948482728
"COG5"	0.0709175122306951	0.651338380534665
"MBOAT1"	0.0708663742670387	0.651573754893909
"NUDT16P1"	0.0705835524657563	0.652876111240687
"GSC"	0.0704835535396871	0.653336836954949
"OR8D1"	0.0703064030472345	0.654153335997992
"FOXA1"	0.0702414635830428	0.654452746444724
"CDH17"	0.0701975331441437	0.654655322859115
"ZNF438"	0.0700907927225685	0.655147636921003
"SLC25A34"	0.0700821753005153	0.655187388971355
"PRSS50"	0.0700530948191199	0.655321543779923
"LINC00189"	0.06996698534873	0.655718848959955
"KHDRBS2"	0.0698474732414151	0.65627042784363
"CYYR1"	0.0697411666117428	0.656761211753622
"MBD6"	0.0696373634963444	0.657240575358503
"CTSO"	0.0694237658277758	0.658227398167231
"ACE"	0.0694141140106817	0.658272003190433
"ADRBK1"	0.0693367856814154	0.658629411525313
"FBXO7"	0.0693288233056459	0.658666217562365
"LOC100506128"	0.0692956995524251	0.658819340469699
"SLCO6A1"	0.0692565682051225	0.659000252743955
"RBM20"	0.0691836309245178	0.659337508084583
"LOC100507086"	0.0690441524849117	0.659982629357104
"SPTSSA"	0.0689113021239464	0.66059732059759
"GABARAP"	0.0687089397804902	0.661534063654768
"AASS"	0.0686994040908163	0.661578217332881
"VPS13B"	0.0686191310817243	0.661949955199462
"CLUAP1"	0.0686003941056387	0.66203673618678
"DAPK1"	0.0685881929309505	0.662093248721751
"DUSP5"	0.0684372497147353	0.662792529986256
"SPRY2"	0.0683865612241542	0.663027420305567
"PRSS37"	0.0683457699455458	0.663216470143653
"GAB3"	0.0683249302103351	0.663313061225582
"CCDC151"	0.0681377460733744	0.664180891334329
"MUC17"	0.0680951777007835	0.664378308996756
"HELQ"	0.0679585338446877	0.665012168273725
